year,sp500_nom,tbond_nom,infl_dec,infl_avg,sp500_real_dec,tbond_real_dec,sp500_real_avg,tbond_real_avg
1945,0.3582,0.038,0.022471910112359383,0.02273803884414982,0.32834945054945086,0.015186813186813364,0.32800379805465485,0.014922649374710328
1946,-0.0843,0.0313,0.18131868131868134,0.08476146364057424,-0.22484930232558142,-0.1269925581395348,-0.1558512809564474,-0.04928407344150276
1947,0.052000000000000005,0.0092,0.08837209302325566,0.14389410760034171,-0.03341880341880321,-0.07274358974358952,-0.0803344531541621,-0.11775050391937292
1948,0.057,0.0195,0.02991452991453003,0.07689436356849577,0.026298755186721756,-0.010112033195020742,-0.018473830155979365,-0.053296187175043364
1949,0.183,0.0466,-0.020746887966805017,-0.009705372616984453,0.2080635593220339,0.06877372881355925,0.19459397969898506,0.05685719285964308
1950,0.3081,0.0043,0.05932203389830493,0.010850542527126361,0.23484640000000012,-0.0519407999999999,0.29405876038781176,-0.006480228531856036
1951,0.2368,-0.003,0.06000000000000005,0.07860110803324094,0.16679245283018873,-0.059433962264150986,0.14667043338683805,-0.07565457463884429
1952,0.1815,0.0227,0.007547169811320753,0.022792937399679136,0.1726498127340823,0.015039325842696627,0.1551702762084115,-9.086629001908708e-05
1953,-0.0121,0.0414,0.0074906367041198685,0.008160703075957176,-0.019444981412639395,0.033657249070631945,-0.020096699875466917,0.03297023661270271
1954,0.5256000000000001,0.0329,-0.0074349442379182396,0.0031133250311332628,0.5370277153558054,0.04063707865168542,0.5208650527622596,0.02969422718808179
1955,0.326,-0.0134,0.0037453183520599342,-0.0027932960893852776,0.3210522388059702,-0.017081343283582018,0.3297142857142856,-0.010636414565826535
1956,0.07440000000000001,-0.0226,0.029850746268656803,0.01525054466230924,0.04325797101449269,-0.050930434782608724,0.05826094420600869,-0.037281974248926875
1957,-0.10460000000000001,0.068,0.02898550724637672,0.033415082771306004,-0.12982253521126752,0.037915492957746544,-0.13355241768021364,0.03346662711361614
1958,0.4372,-0.021,0.01760563380281699,0.027291604865025132,0.41233494809688565,-0.03793771626297593,0.39901853883915694,-0.04700866300895168
1959,0.1206,-0.0265,0.01730103806228378,0.010106843777071939,0.10154217687074829,-0.043056122448979606,0.10938759291023437,-0.036240566037735844
1960,0.0034000000000000002,0.1164,0.013605442176870763,0.014579759862778596,-0.010068456375838863,0.10141476510067116,-0.011019103972949917,0.10035705832628938
1961,0.2664,0.0206,0.006711409395973034,0.010707241476472174,0.25795733333333337,0.013796000000000141,0.25298399776972413,0.009787956509618168
1962,-0.08810000000000001,0.056900000000000006,0.013333333333333197,0.011987733482018426,-0.10009868421052626,0.04299342105263171,-0.09890212121212127,0.044380247933884176
1963,0.2261,0.0168,0.016447368421052655,0.012396694214876103,0.20626019417475727,0.0003469255663428594,0.2110865306122447,0.004349387755101963
1964,0.1642,0.0373,0.009708737864077666,0.012789115646258509,0.15300576923076936,0.027325961538461563,0.1494989253089738,0.024201370231058617
1965,0.124,0.0072,0.019230769230769384,0.0158516926383665,0.10279245283018867,-0.011803773584905697,0.10646072467601164,-0.008516688706691311
1966,-0.09970000000000001,0.0291,0.03459119496855334,0.03015075376884413,-0.129801215805471,-0.005307598784194512,-0.1260502439024389,-0.0010200000000000209
1967,0.23800000000000002,-0.0158,0.03039513677811545,0.027727856225930658,0.2014808259587022,-0.04483244837758116,0.20459905071196594,-0.04235348488633528
1968,0.1081,0.0327,0.0471976401179941,0.04271796152885332,0.058157464788732405,-0.013844225352112716,0.06270347388596087,-0.00960754671777675
1969,-0.0824,-0.0501,0.06197183098591563,0.054623862002874946,-0.13594694960212217,-0.10553183023872692,-0.12992676056338026,-0.09929972739663795
1970,0.0356,0.1675,0.055702917771883076,0.05838255338482501,-0.019042211055276148,0.10589824120603031,-0.02152582099162892,0.10309830435715828
