year,sp500_nominal,tbond_nominal,inflation,sp500_real,tbond_real
1945,0.3582,0.038,0.02273803884414982,0.32800379805465485,0.014922649374710328
1946,-0.0843,0.0313,0.08476146364057424,-0.1558512809564474,-0.04928407344150276
1947,0.052000000000000005,0.0092,0.14389410760034171,-0.0803344531541621,-0.11775050391937292
1948,0.057,0.0195,0.07689436356849577,-0.018473830155979365,-0.053296187175043364
1949,0.183,0.0466,-0.009705372616984453,0.19459397969898506,0.05685719285964308
1950,0.3081,0.0043,0.010850542527126361,0.29405876038781176,-0.006480228531856036
1951,0.2368,-0.003,0.07860110803324094,0.14667043338683805,-0.07565457463884429
1952,0.1815,0.0227,0.022792937399679136,0.1551702762084115,-9.086629001908708e-05
1953,-0.0121,0.0414,0.008160703075957176,-0.020096699875466917,0.03297023661270271
1954,0.5256000000000001,0.0329,0.0031133250311332628,0.5208650527622596,0.02969422718808179
1955,0.326,-0.0134,-0.0027932960893852776,0.3297142857142856,-0.010636414565826535
1956,0.07440000000000001,-0.0226,0.01525054466230924,0.05826094420600869,-0.037281974248926875
1957,-0.10460000000000001,0.068,0.033415082771306004,-0.13355241768021364,0.03346662711361614
1958,0.4372,-0.021,0.027291604865025132,0.39901853883915694,-0.04700866300895168
1959,0.1206,-0.0265,0.010106843777071939,0.10938759291023437,-0.036240566037735844
1960,0.0034000000000000002,0.1164,0.014579759862778596,-0.011019103972949917,0.10035705832628938
1961,0.2664,0.0206,0.010707241476472174,0.25298399776972413,0.009787956509618168
1962,-0.08810000000000001,0.056900000000000006,0.011987733482018426,-0.09890212121212127,0.044380247933884176
1963,0.2261,0.0168,0.012396694214876103,0.2110865306122447,0.004349387755101963
1964,0.1642,0.0373,0.012789115646258509,0.1494989253089738,0.024201370231058617
1965,0.124,0.0072,0.0158516926383665,0.10646072467601164,-0.008516688706691311
1966,-0.09970000000000001,0.0291,0.03015075376884413,-0.1260502439024389,-0.0010200000000000209
1967,0.23800000000000002,-0.0158,0.027727856225930658,0.20459905071196594,-0.04235348488633528
1968,0.1081,0.0327,0.04271796152885332,0.06270347388596087,-0.00960754671777675
1969,-0.0824,-0.0501,0.054623862002874946,-0.12992676056338026,-0.09929972739663795
1970,0.0356,0.1675,0.05838255338482501,-0.02152582099162892,0.10309830435715828
1971,0.1422,0.09789999999999999,0.042927666881305226,0.09518621115455828,0.0527096316114426
1972,0.18760000000000002,0.0282,0.032722782465528066,0.14996978876046207,-0.004379473893981856
1973,-0.1431,0.0366,0.06177760063770421,-0.19295716966966958,-0.02371268768768764
1974,-0.259,0.0199,0.11054804804804808,-0.33276187257055945,-0.08162460706439079
1975,0.37,0.0361,0.09143146864965335,0.25523227005264815,-0.050696237225146934
1976,0.23829999999999998,0.1598,0.0574481263549087,0.17102670962073496,0.0967913896617365
1977,-0.0698,0.0129,0.06501683994728347,-0.1265865805032309,-0.04893522617901824
1978,0.06509999999999999,-0.0078000000000000005,0.07630963838856064,-0.010414882473173459,-0.07814632089933593
1979,0.1852,0.0067,0.11254471129279509,0.06530550005741187,-0.09513748995292237
1980,0.31739999999999996,-0.029900000000000003,0.13549201974968406,0.16020190110223487,-0.14565669936292835
1981,-0.047,0.08199999999999999,0.10334715340277079,-0.13626459536247826,-0.019347630831271112
1982,0.20420000000000002,0.3281,0.06131427000274958,0.13463093264248682,0.25137297927461133
1983,0.2234,0.032,0.032124352331606376,0.1853222891566264,-0.00012048192771096922
1984,0.061500000000000006,0.1373,0.04300535475234257,0.017732071233756086,0.09040667415369819
1985,0.3124,0.2571,0.035456441520937076,0.2674603656647039,0.21405396653238284
1986,0.18489999999999998,0.24280000000000002,0.01898047722342744,0.1628289515699839,0.21965045236828074
1987,0.0581,-0.0496,0.03664563217516914,0.020695951595159467,-0.08319683168316827
1988,0.1654,0.08220000000000001,0.04077741107444077,0.11973990557395542,0.039799661757451865
1989,0.3148,0.1769,0.04827003030089494,0.2542569776821726,0.12270690373756388
1990,-0.030600000000000002,0.062400000000000004,0.053979564399032176,-0.08024782192741897,0.007989182983608512
1991,0.3023,0.15,0.04234963964538552,0.2493888331395706,0.1032766321972709
1992,0.07490000000000001,0.09359999999999999,0.030288196781496746,0.04330031476422369,0.06145057607791893
1993,0.09970000000000001,0.1421,0.02951656966385574,0.068171248918373,0.10935562734352455
1994,0.013300000000000001,-0.08039999999999999,0.0260744159215458,-0.012449794793950364,-0.10376870748299305
1995,0.37200000000000005,0.2348,0.028054196885365812,0.3345599912501367,0.20110399212512275
1996,0.2268,0.0143,0.029312041999343785,0.19186403145255548,-0.014584539368823757
1997,0.331,0.09939999999999999,0.023376899373074078,0.300596095940193,0.07428651230401817
1998,0.2834,0.1492,0.015522790987436252,0.2637825673534073,0.1316338837482749
1999,0.2089,-0.0825,0.021880271969735743,0.18301530341687933,-0.1021453049177048
2000,-0.09029999999999999,0.1666,0.03376857271499323,-0.12001581010452966,0.12849242160278762
2001,-0.1185,0.0557,0.028261711188540595,-0.14272797439759055,0.02668414909638539
2002,-0.21969999999999998,0.1512,0.015860316265060126,-0.2318825851285614,0.13322666666666683
2003,0.2836,0.0038,0.022700949733611253,0.255107859569649,-0.01848140430351064
2004,0.1074,0.0449,0.026772366930917224,0.07852532427424341,0.01765496779317033
2005,0.0483,0.0287,0.033927468454954646,0.013900908896948838,-0.005055933432899673
2006,0.1561,0.0196,0.0322594410070407,0.11997038154685624,-0.012263817122070031
2007,0.0548,0.10210000000000001,0.028526724815013837,0.025544572203227478,0.07153268204889751
2008,-0.3655,0.201,0.03839100296650999,-0.3889584961855993,0.15659707814199408
2009,0.2594,-0.1112,-0.003555462662997444,0.2638937269561894,-0.10802862909428201
2010,0.1482,0.08460000000000001,0.016400434423899046,0.12967287410773864,0.06709911100614274
2011,0.021,0.1604,0.031568415686220375,-0.010244997351135599,0.12488903533177509
2012,0.1589,0.0297,0.02069337265260618,0.13540464849714717,0.008824028438616294
2013,0.3215,-0.091,0.014648326556271352,0.30242170160097426,-0.10412309742316628
2014,0.1352,0.1075,0.016222229774082164,0.11707849596280528,0.08982067854017517
2015,0.0138,0.0128,0.0011862713555246263,0.012598783069006192,0.011599967934789346
2016,0.1177,0.0069,0.0126158320570533,0.10377496046993073,-0.0056446204731385174
2017,0.2161,0.027999999999999997,0.021301100036596132,0.19073601306845123,0.006559182167887423
2018,-0.042300000000000004,-0.0002,0.024425832969282135,-0.06513485976420408,-0.02403866846846736
2019,0.3121,0.0964,0.018122100752601344,0.2887452291135697,0.07688458897958816
2020,0.1802,0.1133,0.012335843963063864,0.1658186431291282,0.09973385476669927
2021,0.2847,-0.044199999999999996,0.04697858863637405,0.22705470192398458,-0.08708734794197526
2022,-0.1804,-0.1783,0.08002799820521167,-0.24113078423706646,-0.23918639019960652
2023,0.2606,0.0388,0.041163383837449,0.21076098100354468,-0.0022699452114213203
2024,0.2488,-0.016399999999999998,0.02949525204852077,0.21302162153259085,-0.04458034357827001
