start_year,retirement_year,terminal_equity,terminal_glidepath,ratio_eq,ratio_gp,irr_eq,irr_gp
1945,1991,319.0,178.0,5.489629857715732,3.0740595411876934,0.06483825106623914,0.044894888253665895
1946,1992,367.0,195.0,6.325330907883722,3.3559484242816007,0.06951961149933022,0.048008423879856675
1947,1993,358.0,201.0,6.169886205336752,3.456956858953099,0.06870209749630059,0.04905204726521357
1948,1994,352.0,212.0,6.057856448389616,3.6531360010064087,0.06809884173296682,0.0509833964575633
1949,1995,314.0,183.0,5.417020312626513,3.1599940890714624,0.06439505796669145,0.04587759701803925
1950,1996,376.0,211.0,6.469291304837835,3.6378931774294267,0.07025742037598344,0.050837593842572804
1951,1997,403.0,204.0,6.943512932138,3.514970295726225,0.07256720442222844,0.049635879691949186
1952,1998,479.0,218.0,8.24991175280556,3.7477846025349204,0.07813975730621414,0.05187360291327613
1953,1999,555.0,241.0,9.556299135594882,4.147203784967304,0.08283432684197703,0.055369631070457226
1954,2000,604.0,220.0,10.405271684811197,3.7946520137095026,0.08553087984683679,0.052305051121313374
1955,2001,485.0,227.0,8.353211389758153,3.911183291050308,0.0785390958888139,0.05335225687760394
1956,2002,389.0,218.0,6.698135398566554,3.7600562859916313,0.07139423345390541,0.05198715901268967
1957,2003,283.0,225.0,4.874965921271732,3.8833798138021898,0.06086417161499822,0.0531056262942005
1958,2004,337.0,226.0,5.807510893220917,3.8946696515733126,0.0667055029128239,0.05320601183465718
1959,2005,341.0,224.0,5.876654989350591,3.861200660697131,0.06709681245771301,0.052907455490214465
1960,2006,329.0,218.0,5.670167833475048,3.754557026310996,0.06591285828164031,0.051936323427671134
1961,2007,352.0,216.0,6.058772548253395,3.7132030994135543,0.06810382402523693,0.0515513286432133
1962,2008,343.0,223.0,5.911129316539584,3.8449598345321894,0.06729003464306534,0.052761528168706974
1963,2009,201.0,229.0,3.461698121335801,3.943121884139453,0.049100178613227,0.053633143055150254
1964,2010,243.0,214.0,4.18228817204792,3.6796885005365234,0.055658483066073704,0.05123574255692265
1965,2011,263.0,225.0,4.536957271700194,3.877113866963478,0.0584347073422014,0.0530497695599399
1966,2012,251.0,242.0,4.325172469438004,4.166179123052941,0.05680745990415958,0.055526194760090054
1967,2013,275.0,244.0,4.741422736413151,4.21193034074704,0.05992736389492294,0.055900421047593796
1968,2014,344.0,233.0,5.923696794160383,4.008361860237593,0.06736016634103877,0.05419902863498278
1969,2015,370.0,251.0,6.37261878737692,4.320522073335238,0.06976396673753474,0.05677073686167801
1970,2016,361.0,250.0,6.2169649725416685,4.302200253041559,0.06895204532834723,0.05662562275867001
1971,2017,381.0,248.0,6.571050354205965,4.276737184504832,0.07076823716026104,0.05642279638141155
1972,2018,434.0,253.0,7.47126279369298,4.361696154307081,0.07494456446328128,0.05709435337850494
1973,2019,388.0,240.0,6.677967565483507,4.140976835520834,0.07129575704331229,0.055318078045314883
1974,2020,480.0,265.0,8.261325670894449,4.556971440770038,0.07818414490381864,0.058584089089962425
1975,2021,531.0,287.0,9.14199208222607,4.951026483112032,0.08142398512147153,0.06138510786334262
1976,2022,601.0,267.0,10.357634956440716,4.606729294852605,0.08538588143970885,0.05895232868886264
1977,2023,425.0,196.0,7.329894054728406,3.38224719667749,0.07432600182815531,0.048283554815619634
1978,2024,484.0,198.0,8.330645790682112,3.417746762261118,0.07845231595242934,0.04865110111237462
1979,2025,543.0,192.0,9.35893864191989,3.312320879683928,0.08217081801774401,0.04754653708906348
