start,retire,W_eq,W_gp,irr_eq,irr_gp,ratio_eq,ratio_gp,avg_eq_first10,avg_eq_last10,avg_gp_first10,avg_gp_last10
1945,1991,318.0244029815872,177.99066258708734,0.06477283109675176,0.0448055206960185,5.4788448897785225,3.0663786269257374,0.1396315058821259,0.09702843590691337,0.11083547845915864,0.0884718124094422
1946,1992,370.89587782245025,196.64457160541235,0.06985175396324983,0.048340747815255554,6.389701437361406,3.3877435069200588,0.13890178470777784,0.13589296732807887,0.10703719284043185,0.10803261372040134
1947,1993,362.4687268640671,202.91573959565656,0.06909738530037063,0.04944398937117379,6.2445205879333106,3.4957816208954866,0.16571251204178525,0.12437466749790524,0.133202053319799,0.09084245599693799
1948,1994,354.34206385730437,213.78975654870231,0.06835156491695933,0.051268170547429506,6.104516469796088,3.68311646581935,0.15607213886253885,0.11353157277051355,0.13065920641427547,0.095906587928454
1949,1995,315.6855056633903,184.36339073777495,0.06452715483625537,0.04605910884510989,5.438550951642393,3.176166393949276,0.19467575815355523,0.11010400175003006,0.1611813905531457,0.08084974387291051
1950,1996,378.46337857784465,213.00172935012998,0.07051341965476242,0.051139543672081296,6.520072448055476,3.6695405302954507,0.18402361990842664,0.11747044738720588,0.15129654341298143,0.08157142280043814
1951,1997,405.6484319568037,205.407630002094,0.07277694984594311,0.0498716541117841,6.98840974980741,3.5387112856985627,0.15953213427084273,0.11900227336450726,0.1349720963399952,0.06371051849122095
1952,1998,484.0824530275002,220.04643308650623,0.0784869790397319,0.05227077832110434,8.339651451699218,3.790904924675851,0.1686486223211572,0.14855711200226523,0.14258921968908211,0.08285389440040476
1953,1999,560.1535015823208,243.2489733362806,0.08314484284704765,0.05572678272809605,9.6501844539695,4.19063248610049,0.14137377262669637,0.16325361040352698,0.12255756318770077,0.0934738039319323
1954,2000,607.4064823735314,221.6119073115174,0.08570941588701016,0.052516607828638456,10.464246991018632,3.817874523163798,0.163944290185436,0.15534200901859024,0.141748033543198,0.07278764990789009
1955,2001,488.03252078553834,228.56136531933933,0.07874761569327522,0.05358474685060069,8.407702231285649,3.937598047949693,0.12554209557293242,0.1519707166367543,0.10693446977760801,0.08531888423473695
1956,2002,396.7841211612655,222.73062714319147,0.07205745257507493,0.052691085340534086,6.835697620020454,3.837147548678183,0.10371611697535425,0.11241573060445562,0.08705007378238853,0.07043204743610765
1957,2003,286.7698531768482,228.38765823562926,0.06131285751836355,0.053558495900236425,4.9403993212164865,3.9346054657485143,0.08641019829335787,0.0841741099550599,0.07501618768103835,0.07092769723841551
1958,2004,342.9738788714641,229.94236408806447,0.06727628160841519,0.053792650619343615,5.9086682215742865,3.9613895494064484,0.11954053441035484,0.10313768563570229,0.1019671957304465,0.06565088433926362
1959,2005,345.25416157956363,226.75444964725565,0.06749506307263965,0.05331057768868138,5.947952361864756,3.90646895658613,0.08412278607953952,0.11169600568094248,0.07041643411576276,0.07612940842935248
1960,2006,333.30006095281857,220.5806895583408,0.06633007385114384,0.05235489490638556,5.742010105494787,3.8001089615771053,0.06037387343225249,0.07926011479815338,0.049822839903585006,0.05163382607330952
1961,2007,358.67948852762345,219.68655446479303,0.06875192636487441,0.05221398679559305,6.179240537405304,3.7847050257717783,0.05947649796430876,0.07327058827956971,0.051914681588958456,0.048903914931213065
1962,2008,345.98183284088384,224.88216244802433,0.06756454671420041,0.05302388171252317,5.960488500394206,3.8742136608995907,0.044287966577447435,0.04374243250756658,0.038669512913174456,0.03822899383683561
1963,2009,210.3321407115242,239.38888133720803,0.05069975885167359,0.05517818080352062,3.6235495247835785,4.124131786390292,0.06914574088085298,-0.019169616066489193,0.059217425269546244,0.029223993164851005
1964,2010,246.59508484330073,216.78003073371605,0.05619450345511621,0.05175142936923158,4.248278458418935,3.7346321617345075,0.027347102415758225,-0.014295541796593047,0.024185439507726864,0.022554992750549775
1965,2011,267.99286438327647,228.81706909421047,0.05902715662096379,0.05362334847333589,4.616914053631391,3.942003248642204,-0.021991624796336047,0.010842429025633663,-0.01765055585549469,0.025817614963830855
1966,2012,256.0827832787159,246.4453804993107,0.057483044637260367,0.05617372991729356,4.411730154582149,4.245699389415558,-0.004157356565841386,0.0232017675356734,-0.006441112833044655,0.037588516165971156
1967,2013,281.7218733038357,250.03279721495207,0.06071506326267259,0.05666768907318883,4.853433986255822,4.307502507527647,0.026908074293056233,0.06089026548152586,0.021985161290997063,0.041461733415497706
1968,2014,351.9246809406447,237.91426553332153,0.06812610049554167,0.05496598266890416,6.062870401395652,4.098727474061537,-0.0060618440516062464,0.06509309220558099,-0.006525804031807109,0.03130414787401335
1969,2015,381.9003426510068,258.67378955752105,0.07080918995434955,0.05782568083718268,6.579283605664934,4.456367362849584,-0.014177871180405626,0.07051230848915224,-0.01562358946864672,0.03908218654787114
1970,2016,370.3014925355042,255.99928224065786,0.06979916207129824,0.05747193815550848,6.379461516269148,4.4102916195786515,0.004029652984500194,0.06979045065650509,-0.0014470969074786486,0.04010830814672416
1971,2017,388.17552827991784,252.39182751729717,0.07134181007426021,0.056988209937335055,6.68739093451467,4.348143291680254,0.023019134808451917,0.06654324397307432,0.009378857678945689,0.03733403993109074
1972,2018,441.3879390642819,257.4261224397859,0.07551446870937918,0.05766116888436292,7.604121041278169,4.434872865735337,-9.45564997222162e-05,0.08429748244093897,-0.009556167222587725,0.03796225345132513
1973,2019,396.6875062892797,245.73463705334783,0.07204951476136026,0.05607491141661057,6.834033163165279,4.233454879056135,0.001035816306449433,0.11488036052135568,-0.003537114222051485,0.03627266680476118
1974,2020,488.5551908425503,269.208808571256,0.07878193309047411,0.05918048693488338,8.416706660329625,4.637862036044405,0.040079945719320206,0.12055547517909497,0.029982905353376943,0.05004093999689857
1975,2021,539.5121151462329,291.8955149568792,0.0819512118009532,0.06190804564560132,9.294579810008099,5.028702940646226,0.07623580730938219,0.12386171641946606,0.06663401579388828,0.053585437611588946
1976,2022,596.572426237762,265.1298789343157,0.08514066499387762,0.05866305689788866,10.277600581062254,4.56759125623129,0.07455936607400226,0.14472390843472535,0.06743006833991458,0.04262552546666003
1977,2023,428.0531521021258,197.38513231866446,0.07452208772802368,0.048473099425984906,7.374392665974453,3.4005017017042714,0.07367728756488252,0.10780776283292189,0.06926621623101695,0.01622479867956012
1978,2024,490.01373815473016,200.90192282363708,0.07887749003152852,0.04909399002030679,8.441834148701325,3.4610880891196625,0.08781632435353612,0.09958431465337805,0.08078175478633155,0.01899614387900685
