year,0
1954,0.6167701074643969
1955,0.5752762295222408
1956,0.36173654782470477
1957,0.02682236161104681
1958,-0.09702867223141166
1959,-0.08720538946651912
1960,-0.2347245813823544
1961,-0.24459408151232037
1962,-0.3047889730779777
1963,-0.28118104740284244
1964,-0.5199339177489717
1965,-0.4897953793502112
1966,-0.4886520379837728
1967,-0.4774560611207438
1968,-0.351704326372664
1969,0.08584122103713587
1970,0.06702528014835943
1971,0.08625722244564998
1972,0.17647120434729746
1973,0.29983357264584304
1974,0.448572699782295
1975,0.3561815294372789
1976,0.45444917727838935
1977,0.5640306178451859
1978,0.5449391077429774
1979,0.43023776479974873
1980,0.34098657003318167
1981,0.25237405778249317
1982,0.34307846616982846
1983,0.33355117087669545
1984,0.2112019586258825
1985,0.4622704517897654
1986,0.48810354955487684
1987,0.48632922429107367
1988,0.43152253223817977
1989,0.41701926345301776
1990,0.61905152996422
1991,0.5623927049575768
1992,0.6194624460782118
1993,0.6882410983222326
1994,0.7535573067648622
1995,0.7597213162500058
1996,0.7349292764883889
1997,0.6883074950852883
1998,0.7035457150131054
1999,0.5561134475501708
2000,0.29151012029165335
2001,0.24383951047212207
2002,0.08066403223453429
2003,0.0278952322662276
2004,-0.06942341233031539
2005,-0.3369454757311466
2006,-0.3155493172424596
2007,-0.4569365842091734
2008,-0.8876222955682204
2009,-0.8929599152414438
2010,-0.8402184507415883
2011,-0.8355319586092891
2012,-0.82317017265385
2013,-0.8676134261366504
2014,-0.8134604959476327
2015,-0.8177737116390003
2016,-0.8125914602931278
2017,-0.8058753757571472
2018,-0.5360407519508099
2019,-0.2550314454680518
2020,-0.2088624258113565
2021,-0.11238609317056548
2022,0.4627177129356302
2023,0.6581546562909945
2024,0.6470008559351348
